# source: https://versionhistory.googleapis.com/v1/chrome/platforms/win/channels/stable/versions?pageSize=1000
# fetched: 2026-09-23
# version|YYYY-MM-DD  (date omitted when the source has no day)
54.0.2840.71|2016-10-20
54.0.2840.87|2016-11-01
54.0.2840.99|2016-11-09
55.0.2883.75|2016-12-01
55.0.2883.87|2016-12-09
56.0.2924.76|2017-01-25
56.0.2924.87|2017-02-01
57.0.2987.98|2017-03-09
57.0.2987.110|2017-03-16
57.0.2987.133|2017-03-29
58.0.3029.81|2017-04-19
58.0.3029.96|2017-05-02
58.0.3029.110|2017-05-09
59.0.3071.86|2017-06-05
59.0.3071.104|2017-06-15
59.0.3071.109|2017-06-20
59.0.3071.115|2017-06-26
60.0.3112.78|2017-07-25
60.0.3112.90|2017-08-02
60.0.3112.101|2017-08-14
60.0.3112.113|2017-08-24
61.0.3163.79|2017-09-05
61.0.3163.91|2017-09-14
61.0.3163.100|2017-09-21
62.0.3202.62|2017-10-17
62.0.3202.75|2017-10-26
62.0.3202.89|2017-11-06
62.0.3202.94|2017-11-13
63.0.3239.84|2017-12-06
63.0.3239.108|2017-12-14
63.0.3239.132|2018-01-04
64.0.3282.119|2018-01-24
64.0.3282.140|2018-02-01
64.0.3282.167|2018-02-13
64.0.3282.168|2018-02-13
64.0.3282.186|2018-02-23
65.0.3325.146|2018-03-06
65.0.3325.162|2018-03-13
65.0.3325.181|2018-03-20
66.0.3359.117|2018-04-17
66.0.3359.139|2018-04-26
66.0.3359.170|2018-05-10
66.0.3359.181|2018-05-15
67.0.3396.62|2018-05-29
67.0.3396.79|2018-06-06
67.0.3396.87|2018-06-12
67.0.3396.99|2018-06-25
68.0.3440.75|2018-07-24
68.0.3440.84|2018-07-31
68.0.3440.106|2018-08-08
69.0.3497.81|2018-09-04
69.0.3497.92|2018-09-11
69.0.3497.100|2018-09-17
70.0.3538.67|2018-10-16
70.0.3538.77|2018-10-24
70.0.3538.102|2018-11-09
70.0.3538.110|2018-11-19
71.0.3578.80|2018-12-04
71.0.3578.98|2018-12-12
72.0.3626.81|2019-01-29
72.0.3626.96|2019-02-06
72.0.3626.109|2019-02-13
72.0.3626.119|2019-02-21
72.0.3626.121|2019-03-01
73.0.3683.75|2019-03-12
73.0.3683.86|2019-03-20
73.0.3683.103|2019-04-04
74.0.3729.108|2019-04-23
74.0.3729.131|2019-04-30
74.0.3729.157|2019-05-14
74.0.3729.169|2019-05-21
75.0.3770.80|2019-06-04
75.0.3770.90|2019-06-13
75.0.3770.100|2019-06-18
75.0.3770.142|2019-07-15
76.0.3809.87|2019-07-30
76.0.3809.100|2019-08-06
76.0.3809.132|2019-08-26
77.0.3865.75|2019-09-10
77.0.3865.90|2019-09-18
77.0.3865.120|2019-10-10
78.0.3904.70|2019-10-22
78.0.3904.87|2019-10-31
78.0.3904.97|2019-11-06
78.0.3904.108|2019-11-18
79.0.3945.79|2019-12-10
79.0.3945.88|2019-12-17
79.0.3945.117|2020-01-07
79.0.3945.130|2020-01-16
80.0.3987.87|2020-02-04
80.0.3987.100|2020-02-11
80.0.3987.106|2020-02-13
80.0.3987.116|2020-02-18
80.0.3987.122|2020-02-24
80.0.3987.132|2020-03-03
80.0.3987.149|2020-03-18
80.0.3987.162|2020-03-31
80.0.3987.163|2020-04-02
81.0.4044.92|2020-04-07
81.0.4044.113|2020-04-15
81.0.4044.122|2020-04-21
81.0.4044.129|2020-04-27
81.0.4044.138|2020-05-05
83.0.4103.61|2020-05-19
83.0.4103.97|2020-06-03
83.0.4103.106|2020-06-15
83.0.4103.116|2020-06-22
84.0.4147.89|2020-07-14
84.0.4147.105|2020-07-27
84.0.4147.125|2020-08-10
84.0.4147.135|2020-08-18
85.0.4183.83|2020-08-25
85.0.4183.102|2020-09-08
85.0.4183.121|2020-09-21
86.0.4240.75|2020-10-06
86.0.4240.111|2020-10-20
86.0.4240.183|2020-11-02
86.0.4240.193|2020-11-09
86.0.4240.198|2020-11-11
87.0.4280.66|2020-11-17
87.0.4280.88|2020-12-02
87.0.4280.141|2021-01-06
88.0.4324.96|2021-01-19
88.0.4324.104|2021-01-21
88.0.4324.146|2021-02-02
88.0.4324.150|2021-02-04
88.0.4324.182|2021-02-16
88.0.4324.190|2021-02-22
89.0.4389.72|2021-03-02
89.0.4389.82|2021-03-05
89.0.4389.90|2021-03-12
89.0.4389.114|2021-03-30
89.0.4389.128|2021-04-13
90.0.4430.72|2021-04-14
90.0.4430.85|2021-04-20
90.0.4430.93|2021-04-26
90.0.4430.212|2021-05-10
91.0.4472.77|2021-05-25
91.0.4472.101|2021-06-09
91.0.4472.106|2021-06-14
91.0.4472.114|2021-06-17
91.0.4472.123|2021-06-24
91.0.4472.124|2021-06-24
91.0.4472.164|2021-07-15
92.0.4515.107|2021-07-20
92.0.4515.131|2021-08-02
92.0.4515.159|2021-08-16
93.0.4577.63|2021-08-31
93.0.4577.82|2021-09-13
94.0.4606.54|2021-09-21
94.0.4606.61|2021-09-24
94.0.4606.71|2021-09-30
94.0.4606.81|2021-10-07
95.0.4638.54|2021-10-19
95.0.4638.69|2021-10-28
96.0.4664.45|2021-11-15
96.0.4664.93|2021-12-06
96.0.4664.110|2021-12-13
97.0.4692.71|2022-01-04
97.0.4692.99|2022-01-19
98.0.4758.81|2022-02-01
98.0.4758.82|2022-02-01
98.0.4758.102|2022-02-14
99.0.4844.51|2022-03-01
99.0.4844.74|2022-03-15
99.0.4844.82|2022-03-20
99.0.4844.84|2022-03-25
100.0.4896.60|2022-03-29
100.0.4896.75|2022-04-04
100.0.4896.88|2022-04-11
100.0.4896.127|2022-04-14
101.0.4951.41|2022-04-26
101.0.4951.54|2022-05-02
101.0.4951.64|2022-05-10
101.0.4951.67|2022-05-12
102.0.5005.61|2022-05-24
102.0.5005.62|2022-05-24
102.0.5005.63|2022-05-24
102.0.5005.115|2022-06-09
103.0.5060.53|2022-06-21
103.0.5060.66|2022-06-27
103.0.5060.114|2022-07-04
103.0.5060.134|2022-07-19
104.0.5112.79|2022-08-02
104.0.5112.80|2022-08-02
104.0.5112.81|2022-08-02
104.0.5112.82|2022-08-16
104.0.5112.101|2022-08-16
104.0.5112.102|2022-08-16
105.0.5195.52|2022-08-30
105.0.5195.53|2022-08-30
105.0.5195.54|2022-08-30
105.0.5195.102|2022-09-02
105.0.5195.125|2022-09-13
105.0.5195.126|2022-09-13
105.0.5195.127|2022-09-13
105.0.5195.128|2022-09-27
106.0.5249.61|2022-09-27
106.0.5249.62|2022-09-27
106.0.5249.91|2022-09-30
106.0.5249.103|2022-10-06
106.0.5249.119|2022-10-11
106.0.5249.120|2022-10-25
106.0.5249.121|2022-10-27
