# source: https://get.geo.opera.com/pub/opera/desktop/
# fetched: 2026-09-23
# version|YYYY-MM-DD  (date omitted when the source has no day)
15.0.1147.130|2013-07-01
15.0.1147.132|2013-07-01
15.0.1147.138|2013-07-09
15.0.1147.141|2013-07-10
15.0.1147.147|2013-07-17
15.0.1147.148|2013-07-17
15.0.1147.153|2013-08-01
16.0.1196.62|2013-08-26
16.0.1196.73|2013-09-05
16.0.1196.80|2013-09-25
17.0.1241.45|2013-10-07
17.0.1241.53|2013-10-23
18.0.1284.49|2013-11-18
18.0.1284.63|2013-12-06
18.0.1284.68|2013-12-16
19.0.1326.47|2014-01-27
19.0.1326.56|2014-01-29
19.0.1326.59|2014-02-03
19.0.1326.63|2014-02-12
20.0.1387.64|2014-03-03
20.0.1387.77|2014-03-12
20.0.1387.82|2014-03-19
20.0.1387.91|2014-04-02
21.0.1432.57|2014-05-05
21.0.1432.67|2014-05-13
22.0.1471.50|2014-06-03
22.0.1471.70|2014-06-18
23.0.1522.60|2014-07-21
23.0.1522.72|2014-08-05
23.0.1522.75|2014-08-11
23.0.1522.77|2014-08-18
24.0.1558.53|2014-09-01
24.0.1558.61|2014-09-16
24.0.1558.64|2014-09-26
25.0.1614.50|2014-10-15
25.0.1614.63|2014-10-27
25.0.1614.68|2014-10-30
25.0.1614.71|2014-11-17
26.0.1656.24|2014-11-20
26.0.1656.32|2014-12-03
26.0.1656.60|2014-12-17
27.0.1689.54|2015-01-26
27.0.1689.66|2015-02-02
27.0.1689.69|2015-02-10
27.0.1689.76|2015-02-23
28.0.1750.40|2015-03-10
28.0.1750.48|2015-03-17
28.0.1750.51|2015-04-08
29.0.1795.47|2015-04-27
29.0.1795.60|2015-05-19
30.0.1835.52|2015-06-08
30.0.1835.59|2015-06-10
30.0.1835.88|2015-06-23
30.0.1835.125|2015-07-13
31.0.1889.99|2015-08-03
31.0.1889.174|2015-08-17
32.0.1948.25|2015-09-14
32.0.1948.69|2015-09-28
33.0.1990.43|2015-10-26
33.0.1990.58|2015-11-02
33.0.1990.115|2015-11-16
34.0.2036.25|2015-12-07
34.0.2036.47|2016-01-11
34.0.2036.50|2016-01-19
35.0.2066.37|2016-02-01
35.0.2066.68|2016-02-16
35.0.2066.82|2016-02-22
35.0.2066.92|2016-03-01
36.0.2130.32|2016-03-14
36.0.2130.46|2016-03-29
36.0.2130.65|2016-04-11
37.0.2178.32|2016-05-03
37.0.2178.43|2016-05-09
37.0.2178.54|2016-05-30
38.0.2220.29|2016-06-07
38.0.2220.31|2016-06-13
38.0.2220.41|2016-07-04
39.0.2256.43|2023-09-18
39.0.2256.48|2023-09-18
39.0.2256.71|2023-09-18
40.0.2308.54|2023-09-18
40.0.2308.62|2023-09-18
40.0.2308.75|2023-09-18
40.0.2308.81|2023-09-18
40.0.2308.90|2023-09-18
41.0.2353.46|2023-09-18
41.0.2353.56|2023-09-18
41.0.2353.69|2023-09-18
42.0.2393.85|2023-09-18
42.0.2393.94|2023-09-18
42.0.2393.137|2023-09-18
42.0.2393.351|2023-09-18
42.0.2393.517|2023-09-18
43.0.2442.806|2023-09-18
43.0.2442.991|2023-09-18
43.0.2442.1144|2023-09-18
43.0.2442.1165|2023-09-18
44.0.2510.857|2023-09-18
44.0.2510.1159|2023-09-18
44.0.2510.1218|2023-09-18
44.0.2510.1449|2023-09-18
45.0.2552.635|2023-09-18
45.0.2552.812|2023-09-18
45.0.2552.869|2017-05-18
45.0.2552.881|2023-09-18
45.0.2552.884|2017-05-29
45.0.2552.888|2023-09-18
45.0.2552.892|2017-06-08
45.0.2552.898|2023-09-18
46.0.2597.26|2023-09-18
46.0.2597.32|2023-09-18
46.0.2597.39|2023-09-18
46.0.2597.46|2023-09-18
46.0.2597.57|2023-09-18
46.0.2597.61|2017-07-27
47.0.2631.39|2023-09-18
47.0.2631.48|2017-08-10
47.0.2631.55|2023-09-18
47.0.2631.71|2023-09-18
47.0.2631.80|2023-09-18
47.0.2631.83|2023-09-18
48.0.2685.32|2023-09-18
48.0.2685.35|2023-09-18
48.0.2685.39|2023-09-18
48.0.2685.50|2023-09-18
48.0.2685.52|2023-09-18
49.0.2725.34|2023-09-18
49.0.2725.39|2023-09-18
49.0.2725.43|2017-12-08
49.0.2725.47|2023-09-18
49.0.2725.56|2023-09-18
49.0.2725.64|2023-09-18
50.0.2762.45|2023-09-18
50.0.2762.58|2023-09-18
50.0.2762.67|2023-09-18
51.0.2830.26|2023-09-18
51.0.2830.34|2023-09-18
51.0.2830.40|2023-09-18
51.0.2830.55|2023-09-18
51.0.2830.62|2023-09-18
52.0.2871.30|2023-09-18
52.0.2871.37|2023-09-18
52.0.2871.40|2023-09-18
52.0.2871.64|2023-09-18
52.0.2871.97|2023-09-18
52.0.2871.99|2023-09-18
53.0.2907.37|2023-09-18
53.0.2907.57|2023-09-18
53.0.2907.68|2023-09-18
53.0.2907.88|2023-09-18
53.0.2907.99|2023-09-18
53.0.2907.106|2023-09-18
53.0.2907.110|2023-09-18
54.0.2952.41|2023-09-18
54.0.2952.46|2023-09-18
54.0.2952.51|2023-09-18
54.0.2952.54|2023-09-18
54.0.2952.60|2023-09-18
54.0.2952.64|2023-09-18
54.0.2952.71|2023-09-18
55.0.2994.37|2023-09-18
55.0.2994.44|2023-09-18
55.0.2994.56|2023-09-18
55.0.2994.59|2023-09-18
55.0.2994.61|2023-09-18
56.0.3051.31|2023-09-18
56.0.3051.35|2023-09-18
56.0.3051.36|2023-09-18
56.0.3051.43|2023-09-18
56.0.3051.52|2023-09-18
56.0.3051.99|2023-09-18
56.0.3051.102|2023-09-18
56.0.3051.104|2023-09-18
56.0.3051.116|2023-09-18
57.0.3098.76|2023-09-18
57.0.3098.91|2018-12-06
57.0.3098.102|2023-09-18
57.0.3098.106|2023-09-18
57.0.3098.110|2023-09-18
57.0.3098.116|2023-09-18
58.0.3135.47|2023-09-18
58.0.3135.53|2023-09-18
58.0.3135.65|2023-09-18
58.0.3135.68|2023-09-18
58.0.3135.79|2023-09-18
58.0.3135.90|2023-09-18
58.0.3135.107|2023-09-18
58.0.3135.117|2023-09-18
58.0.3135.118|2023-09-18
58.0.3135.127|2023-09-18
58.0.3135.132|2019-04-21
60.0.3255.27|2023-09-18
60.0.3255.56|2023-09-18
60.0.3255.59|2019-04-21
60.0.3255.70|2023-09-18
60.0.3255.83|2023-09-18
60.0.3255.84|2023-09-18
60.0.3255.95|2023-09-18
60.0.3255.109|2023-09-18
60.0.3255.116|2023-09-18
