# source: https://developer.samsung.com/browser/release-note/android-release-note.html
# fetched: 2026-09-23
# version|YYYY-MM-DD  (date omitted when the source has no day)
4.2|2016-04-20
5.0|2016-12-01
5.2|2017-02-01
5.4.00|2017-05-17
5.4.02.3|2017-08-24
6.0.00.98|2017-09-08
6.2.01.12|2017-10-26
6.4.10.5|2018-02-12
7.0.10.44|2018-03-07
7.2.10.33|2018-06-07
7.4.00.70|2018-08-20
8.0.00.90|2018-08-01
8.2.01.2|2018-12-10
9.0.01.79|2019-02-20
9.2.00.70|2019-04-03
9.2.10.15|2019-05-20
9.4.00.45|2019-07-22
10.0|2019-08-01
10.1.00.27|2019-09-09
10.1.01.3|2019-10-04
10.2.00.53|2019-11-25
11.0|2020-02-01
11.1.1.52|2020-02-26
11.1.2.2|2020-03-19
11.2.1.3|2020-05-01
11.2.2.3|2020-05-27
12.0.1.47|2020-06-19
12.1.1.36|2020-07-30
12.1.2.55|2020-08-28
12.1.4.3|2020-09-29
13.0.1.64|2020-11-19
13.0.2.9|2020-12-12
13.2.1.70|2021-01-20
13.2.2.4|2021-02-11
13.2.3.2|2021-03-12
14.0.1.62|2021-04-17
14.0.3.5|2021-05-20
14.2.1.69|2021-06-24
14.2.3.14|2021-07-29
15.0.2.47|2021-08-28
15.0.4.9|2021-08-28
15.0.6.3|2021-09-29
16.0.2.19|2021-11-25
16.0.6.23|2021-12-30
16.2.1.56|2022-03-11
16.2.5.4|2022-04-04
17.0.1.69|2022-05-06
17.0.4.3|2022-05-28
17.0.6.9|2022-06-15
17.0.7.34|2022-07-02
18.0.0.58|2022-08-06
18.0.4.14|2022-09-20
19.0.1.2|2022-11-02
19.0.3.12|2022-12-06
19.0.6.3|2022-12-29
20.0.0.65|2023-02-10
20.0.1.2|2023-02-20
20.0.3.10|2023-03-10
20.0.6.5|2023-04-04
21.0.0.41|2023-05-19
21.0.3.6|2023-06-16
22.0.0.54|2023-07-12
22.0.1.1|2023-07-15
22.0.2.6|2023-07-27
22.0.3.1|2023-08-04
22.0.6.9|2023-09-14
23.0.0.47|2023-10-20
23.0.1.1|2023-11-30
24.0.7.1|2024-03-29
25.0.0.41|2024-05-11
